t_sec,tick,drone,species,x,y,z,target_x,target_y,target_z,vx_cmd,vy_cmd,speed_cmd
3.6094,0,cf1,0,1.0000,1.0000,1.0000,0.9997,0.9990,1.0000,-0.0081,-0.0288,0.0299
3.6094,0,cf2,0,1.0000,0.0000,1.0000,1.0001,-0.0005,1.0000,0.0030,-0.0149,0.0152
3.6094,0,cf3,1,1.0000,-1.0000,1.0000,0.9981,-0.9991,1.0000,-0.0572,0.0256,0.0627
3.6094,0,cf4,0,0.0000,1.0000,1.0000,0.0019,0.9977,1.0000,0.0558,-0.0677,0.0877
3.6094,0,cf5,1,0.0000,0.0000,1.0000,-0.0007,-0.0010,1.0000,-0.0215,-0.0308,0.0376
3.6094,0,cf6,1,0.0000,-1.0000,1.0000,-0.0005,-1.0000,1.0000,-0.0140,0.0002,0.0140
3.6094,0,cf7,2,-1.0000,1.0000,1.0000,-0.9993,1.0005,1.0000,0.0221,0.0159,0.0273
3.6094,0,cf8,2,-1.0000,0.0000,1.0000,-0.9994,0.0015,1.0000,0.0185,0.0457,0.0493
3.6094,0,cf9,2,-1.0000,-1.0000,1.0000,-1.0000,-0.9982,1.0000,0.0014,0.0548,0.0548
3.6512,1,cf1,0,0.9997,0.9990,1.0000,0.9995,0.9981,1.0000,-0.0079,-0.0288,0.0299
3.6512,1,cf2,0,1.0001,-0.0005,1.0000,1.0002,-0.0010,1.0000,0.0029,-0.0148,0.0151
3.6512,1,cf3,1,0.9981,-0.9991,1.0000,0.9962,-0.9983,1.0000,-0.0573,0.0256,0.0628
3.6512,1,cf4,0,0.0019,0.9977,1.0000,0.0037,0.9955,1.0000,0.0558,-0.0678,0.0878
3.6512,1,cf5,1,-0.0007,-0.0010,1.0000,-0.0014,-0.0021,1.0000,-0.0215,-0.0309,0.0377
3.6512,1,cf6,1,-0.0005,-1.0000,1.0000,-0.0009,-1.0000,1.0000,-0.0142,0.0002,0.0142
3.6512,1,cf7,2,-0.9993,1.0005,1.0000,-0.9985,1.0011,1.0000,0.0222,0.0159,0.0273
3.6512,1,cf8,2,-0.9994,0.0015,1.0000,-0.9988,0.0030,1.0000,0.0186,0.0457,0.0494
3.6512,1,cf9,2,-1.0000,-0.9982,1.0000,-0.9999,-0.9963,1.0000,0.0015,0.0549,0.0549
3.6932,2,cf1,0,0.9995,0.9981,1.0000,0.9992,0.9971,1.0000,-0.0078,-0.0288,0.0298
3.6932,2,cf2,0,1.0002,-0.0010,1.0000,1.0003,-0.0015,1.0000,0.0029,-0.0148,0.0151
3.6932,2,cf3,1,0.9962,-0.9983,1.0000,0.9943,-0.9974,1.0000,-0.0574,0.0257,0.0629
3.6932,2,cf4,0,0.0037,0.9955,1.0000,0.0056,0.9932,1.0000,0.0557,-0.0680,0.0879
3.6932,2,cf5,1,-0.0014,-0.0021,1.0000,-0.0022,-0.0031,1.0000,-0.0215,-0.0310,0.0377
3.6932,2,cf6,1,-0.0009,-1.0000,1.0000,-0.0014,-1.0000,1.0000,-0.0143,0.0002,0.0144
3.6932,2,cf7,2,-0.9985,1.0011,1.0000,-0.9978,1.0016,1.0000,0.0223,0.0159,0.0274
3.6932,2,cf8,2,-0.9988,0.0030,1.0000,-0.9981,0.0046,1.0000,0.0187,0.0458,0.0494
